Number,Name,Form,Type 1,Type 2
140,Kabuto,,rock,water
141,Kabutops,,rock,water
142,Aerodactyl,,rock,flying
143,Snorlax,,normal,
144,Articuno,,ice,flying
145,Zapdos,,electric,flying
146,Moltres,,fire,flying
147,Dratini,,dragon,
148,Dragonair,,dragon,
149,Dragonite,,dragon,flying
150,Mewtwo,,psychic,
151,Mew,,psychic,
152,Chikorita,,grass,
153,Bayleef,,grass,
154,Meganium,,grass,
155,Cyndaquil,,fire,
156,Quilava,,fire,
157,Typhlosion,,fire,
158,Totodile,,water,
159,Croconaw,,water,
160,Feraligatr,,water,
161,Sentret,,normal,
162,Furret,,normal,
163,Hoothoot,,normal,flying
164,Noctowl,,normal,flying
165,Ledyba,,bug,flying
166,Ledian,,bug,flying
167,Spinarak,,bug,poison
168,Ariados,,bug,poison
169,Crobat,,poison,flying
170,Chinchou,,water,electric
171,Lanturn,,water,electric
172,Pichu,,electric,
173,Cleffa,,normal,
174,Igglybuff,,normal,
175,Togepi,,normal,
176,Togetic,,normal,flying
177,Natu,,psychic,flying
178,Xatu,,psychic,flying
179,Mareep,,electric,
180,Flaaffy,,electric,
181,Ampharos,,electric,
182,Bellossom,,grass,
183,Marill,,water,
184,Azumarill,,water,
185,Sudowoodo,,rock,
186,Politoed,,water,
187,Hoppip,,grass,flying
188,Skiploom,,grass,flying
189,Jumpluff,,grass,flying
190,Aipom,,normal,
191,Sunkern,,grass,
192,Sunflora,,grass,
193,Yanma,,bug,flying
194,Wooper,,water,ground
195,Quagsire,,water,ground
196,Espeon,,psychic,
197,Umbreon,,dark,
198,Murkrow,,dark,flying
199,Slowking,,water,psychic
200,Misdreavus,,ghost,
201,Unown,,psychic,
202,Wobbuffet,,psychic,
203,Girafarig,,normal,psychic
204,Pineco,,bug,
205,Forretress,,bug,steel
206,Dunsparce,,normal,
207,Gligar,,ground,flying
208,Steelix,,steel,ground
209,Snubbull,,normal,
210,Granbull,,normal,
211,Qwilfish,,water,poison
212,Scizor,,bug,steel
213,Shuckle,,bug,rock
214,Heracross,,bug,fighting
215,Sneasel,,dark,ice
216,Teddiursa,,normal,
217,Ursaring,,normal,
218,Slugma,,fire,
219,Magcargo,,fire,rock
220,Swinub,,ice,ground
221,Piloswine,,ice,ground
222,Corsola,,water,rock
223,Remoraid,,water,
224,Octillery,,water,
225,Delibird,,ice,flying
226,Mantine,,water,flying
227,Skarmory,,steel,flying
228,Houndour,,dark,fire
229,Houndoom,,dark,fire
230,Kingdra,,water,dragon
231,Phanpy,,ground,
232,Donphan,,ground,
233,Porygon2,,normal,
234,Stantler,,normal,
235,Smeargle,,normal,
236,Tyrogue,,fighting,
237,Hitmontop,,fighting,
238,Smoochum,,ice,psychic
239,Elekid,,electric,
240,Magby,,fire,
241,Miltank,,normal,
242,Blissey,,normal,
243,Raikou,,electric,
244,Entei,,fire,
245,Suicune,,water,
246,Larvitar,,rock,ground
247,Pupitar,,rock,ground
248,Tyranitar,,rock,dark
249,Lugia,,psychic,flying
250,Ho-Oh,,fire,flying
251,Celebi,,psychic,grass
252,Treecko,,grass,
253,Grovyle,,grass,
254,Sceptile,,grass,
255,Torchic,,fire,
256,Combusken,,fire,fighting
257,Blaziken,,fire,fighting
258,Mudkip,,water,
259,Marshtomp,,water,ground
260,Swampert,,water,ground
261,Poochyena,,dark,
262,Mightyena,,dark,
263,Zigzagoon,,normal,
264,Linoone,,normal,
265,Wurmple,,bug,
266,Silcoon,,bug,
267,Beautifly,,bug,flying
268,Cascoon,,bug,
269,Dustox,,bug,poison
270,Lotad,,water,grass
271,Lombre,,water,grass
272,Ludicolo,,water,grass
273,Seedot,,grass,
274,Nuzleaf,,grass,dark
275,Shiftry,,grass,dark
276,Taillow,,normal,flying
277,Swellow,,normal,flying
278,Wingull,,water,flying
279,Pelipper,,water,flying
280,Ralts,,psychic,
281,Kirlia,,psychic,
282,Gardevoir,,psychic,
283,Surskit,,bug,water
284,Masquerain,,bug,flying
285,Shroomish,,grass,
286,Breloom,,grass,fighting
287,Slakoth,,normal,
288,Vigoroth,,normal,
289,Slaking,,normal,
290,Nincada,,bug,ground
291,Ninjask,,bug,flying
292,Shedinja,,bug,ghost
293,Whismur,,normal,
294,Loudred,,normal,
295,Exploud,,normal,
296,Makuhita,,fighting,
297,Hariyama,,fighting,
298,Azurill,,normal,
299,Nosepass,,rock,
300,Skitty,,normal,
301,Delcatty,,normal,
302,Sableye,,dark,ghost
303,Mawile,,steel,
304,Aron,,steel,rock
305,Lairon,,steel,rock
306,Aggron,,steel,rock
307,Meditite,,fighting,psychic
308,Medicham,,fighting,psychic
309,Electrike,,electric,
310,Manectric,,electric,
311,Plusle,,electric,
312,Minun,,electric,
313,Volbeat,,bug,
314,Illumise,,bug,
315,Roselia,,grass,poison
316,Gulpin,,poison,
317,Swalot,,poison,
318,Carvanha,,water,dark
319,Sharpedo,,water,dark
320,Wailmer,,water,
321,Wailord,,water,
322,Numel,,fire,ground
323,Camerupt,,fire,ground
324,Torkoal,,fire,
325,Spoink,,psychic,
326,Grumpig,,psychic,
327,Spinda,,normal,
328,Trapinch,,ground,
329,Vibrava,,ground,dragon
330,Flygon,,ground,dragon
331,Cacnea,,grass,
332,Cacturne,,grass,dark
333,Swablu,,normal,flying
334,Altaria,,dragon,flying
335,Zangoose,,normal,
336,Seviper,,poison,
337,Lunatone,,rock,psychic
338,Solrock,,rock,psychic
339,Barboach,,water,ground
340,Whiscash,,water,ground
341,Corphish,,water,
342,Crawdaunt,,water,dark
343,Baltoy,,ground,psychic
344,Claydol,,ground,psychic
345,Lileep,,rock,grass
346,Cradily,,rock,grass
347,Anorith,,rock,bug
348,Armaldo,,rock,bug
349,Feebas,,water,
350,Milotic,,water,
351,Castform,,normal,
351,Castform,,fire,
351,Castform,,water,
351,Castform,,ice,
352,Kecleon,,normal,
353,Shuppet,,ghost,
354,Banette,,ghost,
355,Duskull,,ghost,
356,Dusclops,,ghost,
357,Tropius,,grass,flying
358,Chimecho,,psychic,
359,Absol,,dark,
360,Wynaut,,psychic,
361,Snorunt,,ice,
362,Glalie,,ice,
363,Spheal,,ice,water
364,Sealeo,,ice,water
365,Walrein,,ice,water
366,Clamperl,,water,
367,Huntail,,water,
368,Gorebyss,,water,
369,Relicanth,,water,rock
370,Luvdisc,,water,
371,Bagon,,dragon,
372,Shelgon,,dragon,
373,Salamence,,dragon,flying
374,Beldum,,steel,psychic
375,Metang,,steel,psychic
376,Metagross,,steel,psychic
377,Regirock,,rock,
378,Regice,,ice,
379,Registeel,,steel,
380,Latias,,dragon,psychic
381,Latios,,dragon,psychic
382,Kyogre,,water,
383,Groudon,,ground,
384,Rayquaza,,dragon,flying
385,Jirachi,,steel,psychic
386,Deoxys,Normal Forme,psychic,
386,Deoxys,Attack Forme,psychic,
386,Deoxys,Defense Forme,psychic,
386,Deoxys,Speed Forme,psychic,
387,Turtwig,,grass,
388,Grotle,,grass,
389,Torterra,,grass,ground
390,Chimchar,,fire,
391,Monferno,,fire,fighting
392,Infernape,,fire,fighting
393,Piplup,,water,
394,Prinplup,,water,
395,Empoleon,,water,steel
396,Starly,,normal,flying
397,Staravia,,normal,flying
398,Staraptor,,normal,flying
399,Bidoof,,normal,
400,Bibarel,,normal,water
401,Kricketot,,bug,
402,Kricketune,,bug,
403,Shinx,,electric,
404,Luxio,,electric,
405,Luxray,,electric,
406,Budew,,grass,poison
407,Roserade,,grass,poison
408,Cranidos,,rock,
409,Rampardos,,rock,
410,Shieldon,,rock,steel
411,Bastiodon,,rock,steel
412,Burmy,,bug,
412,Burmy,,bug,
412,Burmy,,bug,
413,Wormadam,Plant Cloak,bug,grass
413,Wormadam,Sandy Cloak,bug,ground
413,Wormadam,Trash Cloak,bug,steel
414,Mothim,,bug,flying
415,Combee,,bug,flying
416,Vespiquen,,bug,flying
417,Pachirisu,,electric,
418,Buizel,,water,
419,Floatzel,,water,
420,Cherubi,,grass,
421,Cherrim,,grass,
422,Shellos,,water,
422,Shellos,,water,
423,Gastrodon,,water,ground
423,Gastrodon,,water,ground
424,Ambipom,,normal,
425,Drifloon,,ghost,flying
426,Drifblim,,ghost,flying
427,Buneary,,normal,
428,Lopunny,,normal,
429,Mismagius,,ghost,
430,Honchkrow,,dark,flying
431,Glameow,,normal,
432,Purugly,,normal,
433,Chingling,,psychic,
434,Stunky,,poison,dark
435,Skuntank,,poison,dark
436,Bronzor,,steel,psychic
437,Bronzong,,steel,psychic
438,Bonsly,,rock,
439,Mime Jr.,,psychic,
440,Happiny,,normal,
441,Chatot,,normal,flying
442,Spiritomb,,ghost,dark
443,Gible,,dragon,ground
444,Gabite,,dragon,ground
445,Garchomp,,dragon,ground
446,Munchlax,,normal,
447,Riolu,,fighting,
448,Lucario,,fighting,steel
449,Hippopotas,,ground,
450,Hippowdon,,ground,
451,Skorupi,,poison,bug
452,Drapion,,poison,dark
453,Croagunk,,poison,fighting
454,Toxicroak,,poison,fighting
455,Carnivine,,grass,
456,Finneon,,water,
457,Lumineon,,water,
458,Mantyke,,water,flying
459,Snover,,grass,ice
460,Abomasnow,,grass,ice
461,Weavile,,dark,ice
462,Magnezone,,electric,steel
463,Lickilicky,,normal,
464,Rhyperior,,ground,rock
465,Tangrowth,,grass,
466,Electivire,,electric,
467,Magmortar,,fire,
468,Togekiss,,normal,flying
469,Yanmega,,bug,flying
470,Leafeon,,grass,
471,Glaceon,,ice,
472,Gliscor,,ground,flying
473,Mamoswine,,ice,ground
474,Porygon-Z,,normal,
475,Gallade,,psychic,fighting
476,Probopass,,rock,steel
477,Dusknoir,,ghost,
478,Froslass,,ice,ghost
479,Rotom,,electric,ghost
479,Rotom,Heat Rotom,electric,ghost
479,Rotom,Wash Rotom,electric,ghost
479,Rotom,Frost Rotom,electric,ghost
479,Rotom,Fan Rotom,electric,ghost
479,Rotom,Mow Rotom,electric,ghost
480,Uxie,,psychic,
481,Mesprit,,psychic,
482,Azelf,,psychic,
483,Dialga,,steel,dragon
484,Palkia,,water,dragon
485,Heatran,,fire,steel
486,Regigigas,,normal,
487,Giratina,Altered Forme,ghost,dragon
487,Giratina,Origin Forme,ghost,dragon
488,Cresselia,,psychic,
489,Phione,,water,
490,Manaphy,,water,
491,Darkrai,,dark,
492,Shaymin,Land Forme,grass,
492,Shaymin,Sky Forme,grass,flying
493,Arceus,,normal,
